rank,provider_id,specialty,n_detectors,disposition,peer_flag,ts_flag,iso_flag,peer_max_z,ts_volume_max_z,shift_z,iso_score,archetype
1,P0201,Dermatology,3,REVIEW,True,True,True,16.534,18.162,0.654,0.534,volume_spike
2,P0186,Dermatology,3,REVIEW,True,True,True,14.009,17.312,1.702,0.518,volume_spike
3,P0205,Dermatology,3,REVIEW,True,True,True,14.384,14.423,0.0,0.528,volume_spike
4,P0039,Family Medicine,3,REVIEW,True,True,True,3.526,1.873,13.716,0.514,upcoding_drift
5,P0054,Family Medicine,3,REVIEW,True,True,True,6.083,2.38,11.024,0.573,upcoding_drift
6,P0114,Cardiology,2,REVIEW,True,False,True,39.728,2.92,0.408,0.557,duplicate_billing
7,P0223,Dermatology,2,REVIEW,True,False,True,33.246,1.82,0.434,0.582,duplicate_billing
8,P0191,Dermatology,2,REVIEW,True,False,True,32.645,2.042,0.0,0.533,duplicate_billing
9,P0238,Dermatology,2,REVIEW,True,False,True,16.035,2.935,0.647,0.601,mod25_overuse
10,P0008,Family Medicine,2,REVIEW,True,False,True,15.631,1.656,1.057,0.616,mod25_overuse
11,P0209,Dermatology,2,REVIEW,True,False,True,14.822,2.991,0.0,0.597,mod25_overuse
12,P0225,Dermatology,2,REVIEW,True,False,True,10.873,1.574,0.0,0.763,upcoding
13,P0042,Family Medicine,2,REVIEW,True,False,True,7.429,2.462,2.217,0.687,upcoding
14,P0128,Orthopedics,1,REVIEW,False,True,False,2.878,1.976,8.077,0.467,upcoding_drift
15,P0036,Family Medicine,1,WITHHOLD,True,False,False,3.771,1.531,0.951,0.439,normal
16,P0194,Dermatology,1,WITHHOLD,True,False,False,3.683,1.054,0.0,0.408,normal
17,P0094,Cardiology,1,WITHHOLD,False,False,True,3.471,2.63,2.701,0.504,upcoding
18,P0141,Orthopedics,1,WITHHOLD,False,False,True,1.266,1.96,0.108,0.497,normal
19,P0072,Cardiology,0,-,False,False,False,2.584,3.958,0.985,0.403,normal
20,P0165,Orthopedics,0,-,False,False,False,1.603,3.958,1.167,0.375,normal
21,P0096,Cardiology,0,-,False,False,False,1.105,3.833,1.399,0.373,normal
22,P0021,Family Medicine,0,-,False,False,False,2.081,3.802,0.794,0.386,normal
23,P0199,Dermatology,0,-,False,False,False,1.538,3.795,1.357,0.367,normal
24,P0231,Dermatology,0,-,False,False,False,1.78,3.788,0.833,0.381,normal
25,P0203,Dermatology,0,-,False,False,False,0.091,3.731,1.152,0.354,normal
26,P0150,Orthopedics,0,-,False,False,False,0.541,3.591,0.0,0.367,normal
27,P0105,Cardiology,0,-,False,False,False,1.998,3.441,1.501,0.418,normal
28,P0107,Cardiology,0,-,False,False,False,3.388,1.89,0.0,0.488,normal
29,P0086,Cardiology,0,-,False,False,False,1.091,3.359,0.53,0.357,normal
30,P0068,Cardiology,0,-,False,False,False,0.802,3.337,1.461,0.371,normal
31,P0175,Orthopedics,0,-,False,False,False,0.292,3.296,0.41,0.483,normal
32,P0239,Dermatology,0,-,False,False,False,2.296,3.253,1.124,0.423,normal
33,P0235,Dermatology,0,-,False,False,False,2.392,3.244,1.025,0.397,normal
34,P0069,Cardiology,0,-,False,False,False,1.402,3.236,1.464,0.376,normal
35,P0038,Family Medicine,0,-,False,False,False,2.215,2.335,3.22,0.402,normal
36,P0222,Dermatology,0,-,False,False,False,0.862,2.313,3.19,0.443,normal
37,P0017,Family Medicine,0,-,False,False,False,2.04,3.167,0.81,0.391,normal
38,P0118,Cardiology,0,-,False,False,False,3.164,1.309,0.865,0.488,normal
