provider_id,specialty,n_claims,em_high_share,em5_share,em_mean_level,mod25_rate,dup_rate,visits_per_month,visits_cv,paid_per_visit
P0001,Family Medicine,1434,0.3607,0.08,3.3768,0.0582,0.0063,59.375,0.116,112.2845
P0002,Family Medicine,1611,0.4769,0.1253,3.5118,0.0761,0.0043,66.8333,0.1543,119.2027
P0003,Family Medicine,1768,0.4997,0.1052,3.5128,0.0694,0.0051,73.2917,0.1119,118.8049
P0004,Family Medicine,1039,0.4135,0.1391,3.4271,0.0473,0.0038,43.125,0.1543,114.241
P0005,Family Medicine,1124,0.4519,0.0971,3.4394,0.0998,0.0018,46.75,0.1698,118.1241
P0006,Family Medicine,1232,0.4059,0.057,3.3765,0.0962,0.0041,51.125,0.1408,114.4732
P0007,Family Medicine,1619,0.4152,0.0476,3.3193,0.0996,0.0019,67.3333,0.1444,112.6398
P0008,Family Medicine,1577,0.4192,0.0748,3.4134,0.6358,0.0076,65.2083,0.1552,156.4454
P0009,Family Medicine,1190,0.4315,0.0883,3.423,0.0303,0.0008,49.5417,0.1585,112.0113
P0010,Family Medicine,1024,0.4335,0.0763,3.3836,0.0538,0.002,42.5833,0.1748,112.2676
P0011,Family Medicine,1680,0.3925,0.0921,3.4335,0.0741,0.0113,69.2083,0.1465,115.7521
P0012,Family Medicine,1290,0.5241,0.1413,3.6064,0.0582,0.0016,53.6667,0.1262,122.0993
P0013,Family Medicine,1183,0.452,0.1597,3.5531,0.1793,0.0051,49.0417,0.1471,128.892
P0014,Family Medicine,1048,0.4971,0.1558,3.6071,0.0832,0.0019,43.5833,0.1529,123.1361
P0015,Family Medicine,865,0.464,0.0824,3.4838,0.051,0.0035,35.9167,0.1184,115.3262
P0016,Family Medicine,2239,0.5148,0.099,3.5287,0.086,0.0031,93.0,0.1199,120.6798
P0017,Family Medicine,951,0.4462,0.1424,3.538,0.0622,0.0032,39.5,0.1899,120.0396
P0018,Family Medicine,1461,0.534,0.0748,3.4557,0.1194,0.0027,60.7083,0.1034,120.3789
P0019,Family Medicine,1014,0.4344,0.0944,3.4175,0.0179,0.0079,41.9167,0.144,110.9888
P0020,Family Medicine,1137,0.4247,0.1057,3.4661,0.1181,0.0018,47.2917,0.1704,120.2284
P0021,Family Medicine,1817,0.4759,0.097,3.4792,0.1501,0.0066,75.2083,0.1342,123.4046
P0022,Family Medicine,1053,0.5306,0.0784,3.5124,0.0727,0.0066,43.5833,0.2014,118.3553
P0023,Family Medicine,1138,0.6305,0.0661,3.6314,0.172,0.0035,47.25,0.1566,129.6958
P0024,Family Medicine,1142,0.5123,0.0801,3.4798,0.044,0.0053,47.3333,0.1173,115.1398
P0025,Family Medicine,1218,0.4664,0.0961,3.4573,0.0729,0.009,50.2917,0.1378,116.2825
P0026,Family Medicine,1380,0.3703,0.1064,3.2879,0.0394,0.0058,57.1667,0.158,107.9485
P0027,Family Medicine,1513,0.4286,0.0919,3.4504,0.1131,0.0007,63.0,0.1298,119.9259
P0028,Family Medicine,1289,0.4521,0.0577,3.3991,0.0592,0.0047,53.4583,0.1675,112.8733
P0029,Family Medicine,972,0.4948,0.1508,3.5733,0.124,0.0041,40.3333,0.15,124.992
P0030,Family Medicine,1326,0.5272,0.1626,3.6241,0.1218,0.003,55.0833,0.1412,127.3456
P0031,Family Medicine,1258,0.3804,0.0981,3.4139,0.063,0.0032,52.25,0.1098,114.0954
P0032,Family Medicine,1730,0.4162,0.0267,3.3252,0.1067,0.0029,71.875,0.0947,112.5939
P0033,Family Medicine,1945,0.5,0.0946,3.4835,0.0502,0.0057,80.5833,0.1393,115.7095
P0034,Family Medicine,1260,0.5315,0.063,3.4669,0.103,0.0056,52.2083,0.1735,118.3343
P0035,Family Medicine,1814,0.4407,0.1624,3.4861,0.0831,0.0055,75.1667,0.1216,119.8493
P0036,Family Medicine,868,0.5526,0.1017,3.6058,0.0832,0.0035,36.0417,0.2306,122.8372
P0037,Family Medicine,1392,0.4255,0.1202,3.4154,0.0979,0.0022,57.875,0.1395,117.3344
P0038,Family Medicine,1271,0.4065,0.1482,3.3827,0.0824,0.0071,52.5833,0.194,115.5815
P0039,Family Medicine,1866,0.6139,0.2197,3.7577,0.0539,0.0048,77.375,0.1091,128.4349
P0040,Family Medicine,1667,0.3759,0.0349,3.2343,0.0614,0.0042,69.1667,0.1379,106.4072
P0041,Family Medicine,1005,0.4636,0.0758,3.4666,0.1196,0.002,41.7917,0.1288,120.3441
P0042,Family Medicine,1755,0.8013,0.3574,4.1289,0.0493,0.0051,72.75,0.1199,144.0338
P0043,Family Medicine,1389,0.4498,0.104,3.4224,0.1054,0.0029,57.7083,0.1159,118.2245
P0044,Family Medicine,1426,0.411,0.0621,3.3898,0.1674,0.007,59.0,0.1395,120.5274
P0045,Family Medicine,1973,0.4052,0.0818,3.3689,0.0981,0.0081,81.5417,0.1271,115.1735
P0046,Family Medicine,1729,0.4445,0.0724,3.4077,0.0362,0.0098,71.3333,0.1289,111.4218
P0047,Family Medicine,1598,0.653,0.0717,3.6505,0.0321,0.0044,66.2917,0.1519,120.5543
P0048,Family Medicine,1395,0.4426,0.1682,3.5184,0.0477,0.0072,57.7083,0.1319,117.8976
P0049,Family Medicine,1231,0.3736,0.0775,3.3148,0.075,0.0041,51.0833,0.1588,110.8543
P0050,Family Medicine,918,0.3527,0.0635,3.3001,0.0657,0.0054,38.0417,0.1636,109.9544
P0051,Family Medicine,1296,0.4396,0.089,3.428,0.0898,0.0031,53.8333,0.1353,116.9251
P0052,Family Medicine,1055,0.4852,0.0715,3.4843,0.101,0.0057,43.7083,0.1281,119.2325
P0053,Family Medicine,1136,0.5151,0.1128,3.5169,0.1306,0.0088,46.9167,0.1666,123.4324
P0054,Family Medicine,1287,0.6503,0.3099,3.8767,0.0554,0.0047,53.375,0.1488,134.4937
P0055,Family Medicine,2041,0.3606,0.0483,3.3522,0.0646,0.0069,84.4583,0.1426,111.2651
P0056,Family Medicine,1379,0.4956,0.127,3.5711,0.082,0.0007,57.4167,0.188,121.4422
P0057,Family Medicine,1531,0.5,0.1623,3.5834,0.0611,0.0059,63.4167,0.1459,121.7639
P0058,Family Medicine,1186,0.5017,0.1738,3.5963,0.0094,0.0101,48.9167,0.165,118.2815
